ID,signup_ym,birth_year,annual_income,marital_status,children,Recency,amount_alcohol,amount_fruit,amount_meat,amount_fish,amount_snack,amount_general,Monetary,num_purchase_web,num_purchase_store,num_purchase_discount,Frequency,promotion_1,promotion_2,promotion_3,promotion_4,promotion_5,promotion_6,revenue
6248,22.Jan,1955,119225600,미혼,0,47,1658800,31200,969800,122200,37700,62400,2882100,9,11,0,20,0,0,0,0,1,1,11
3334,22.May,1959,123034600,배우자 있음,0,35,1142700,185900,1036100,137800,185900,185900,2874300,5,9,0,14,1,0,0,0,1,0,11
7503,21.Jan,1984,98572500,미혼,0,40,1341600,136500,1012700,178100,136500,66300,2871700,5,9,0,14,0,0,1,0,0,1,11
5236,20.Nov,1987,100838400,배우자 있음,1,30,1599000,0,514800,301600,231400,205400,2852200,10,8,1,19,1,0,0,1,1,0,11
477,22.Sep,1994,108565600,배우자 있음,0,31,1378000,79300,1085500,104000,26000,131300,2804100,4,10,1,15,1,1,1,0,1,1,11
7274,20.Dec,1965,102203400,배우자 있음,0,87,956800,211900,1063400,275600,211900,79300,2798900,4,10,1,15,0,0,0,1,0,0,11
3698,20.Nov,1991,102293100,배우자 있음,0,13,1062100,240500,893100,188500,71500,313300,2769000,4,8,1,13,0,0,0,0,1,1,11
8867,20.Nov,1996,87809800,배우자 있음,0,90,1123200,174200,998400,195000,49400,223600,2763800,4,5,1,10,0,0,0,0,0,0,11
2747,20.Nov,1996,87809800,배우자 있음,0,90,1123200,174200,998400,195000,49400,223600,2763800,4,5,1,10,0,0,0,0,0,0,11
6932,21.Jul,1949,120935100,배우자 있음,0,77,1670500,54600,930800,71500,0,27300,2754700,7,5,0,12,0,0,0,0,1,0,11
6421,21.Sep,1969,114851100,배우자 있음,0,32,1365000,231400,721500,100100,179400,153400,2750800,4,9,1,14,1,0,0,0,0,0,11
9826,20.Dec,1980,112914100,미혼,0,96,1168700,132600,1089400,172900,132600,52000,2748200,5,10,1,16,0,0,0,0,0,1,11
5830,20.Dec,1980,112914100,미혼,0,96,1168700,132600,1089400,172900,132600,52000,2748200,5,10,1,16,0,0,0,0,0,1,11
3403,20.Dec,1966,102637600,배우자 있음,1,11,1521000,24700,772200,128700,98800,174200,2719600,2,12,2,16,0,0,0,0,0,0,11
7919,20.Nov,1984,94035500,배우자 있음,0,2,1670500,136500,848900,36400,27300,0,2719600,10,8,1,19,0,0,0,0,0,1,11
3690,21.Apr,1994,104183300,배우자 있음,0,20,1539200,132600,874900,67600,52000,52000,2718300,7,10,1,18,0,0,0,0,1,1,11
203,21.Jul,1983,105519700,미혼,0,47,1674400,26000,796900,104000,79300,35100,2715700,5,9,1,15,0,0,0,0,0,0,11
313,22.Jan,1976,95491500,사별,0,98,1171300,79300,984100,241800,211900,26000,2714400,6,10,1,17,0,0,0,1,0,0,11
6072,21.May,1978,97948500,미혼,0,16,1193400,74100,1094600,128700,49400,172900,2713100,5,6,1,12,1,0,0,0,0,1,11
7627,21.Mar,1983,119811900,배우자 있음,0,25,1062100,237900,1036100,137800,211900,26000,2711800,5,5,0,10,1,0,0,0,1,1,11
821,21.Jan,2000,120716700,미혼,0,46,1250600,79300,1197300,67600,79300,26000,2700100,5,12,1,18,0,0,0,0,0,0,11
4910,20.Nov,1975,89365900,이혼,0,81,1471600,174200,499200,227500,174200,149500,2696200,11,13,1,25,0,0,0,0,0,0,11
3010,22.Jul,1997,114946000,배우자 있음,0,87,1244100,198900,795600,128700,123500,198900,2689700,4,8,1,13,1,0,1,0,1,0,11
4947,20.Dec,1974,116443600,미혼,0,44,787800,31200,1266200,256100,252200,83200,2676700,7,9,1,17,1,0,0,1,0,1,11
1103,20.Dec,1984,106507700,배우자 있음,1,60,1931800,71500,361400,63700,0,240500,2668900,4,10,2,16,0,0,1,0,1,1,11
3139,22.Mar,1990,96350800,미혼,0,53,1132300,144300,915200,188500,71500,215800,2667600,4,10,1,15,0,0,0,1,0,0,11
697,21.Jun,1977,97393400,배우자 있음,0,78,1263600,76700,1186900,32500,24700,76700,2661100,5,6,1,12,0,0,0,0,1,0,11
1772,21.Apr,1983,102926200,배우자 있음,0,2,1396200,48100,673400,250900,119600,167700,2655900,5,7,1,13,1,0,0,0,1,1,11
1172,21.Jul,1991,120238300,배우자 있음,0,71,1272700,57200,1215500,37700,32500,28600,2644200,7,12,1,20,1,0,0,1,1,1,11
4597,21.Sep,1978,106693600,배우자 있음,0,67,1155700,71500,890500,218400,119600,167700,2623400,3,13,1,17,0,0,0,0,0,0,11
2894,22.Jan,1993,94773900,미혼,0,74,1387100,179400,975000,0,24700,50700,2616900,7,8,1,16,1,0,0,1,1,1,11
5848,22.Apr,1978,105566500,배우자 있음,0,43,941200,96200,1207700,126100,71500,169000,2611700,5,7,1,13,0,1,1,0,1,1,11
4248,22.May,1968,128410100,미혼,0,23,1300000,24700,924300,162500,149500,49400,2610400,4,9,0,13,0,0,0,1,0,0,11
7451,22.May,1968,128410100,미혼,0,23,1300000,24700,924300,162500,149500,49400,2610400,4,9,0,13,0,0,0,1,0,0,11
3104,20.Dec,1969,107031600,미혼,0,89,1079000,76700,1258400,66300,102700,24700,2607800,5,12,1,18,0,0,0,0,1,1,11
569,22.Mar,1999,117354900,미혼,0,32,915200,167700,1108900,156000,96200,144300,2588300,5,7,1,13,1,0,0,1,1,1,11
10619,21.Mar,2002,124187700,미혼,0,29,1001000,37700,1157000,325000,35100,31200,2587000,7,7,1,15,0,0,0,0,1,1,11
9220,21.Apr,1979,119210000,미혼,0,58,748800,223600,1249300,162500,149500,24700,2558400,8,5,1,14,0,0,0,0,0,1,11
1127,22.Aug,1981,111597200,배우자 있음,0,62,1219400,24700,1095900,32500,123500,49400,2545400,6,7,1,14,0,0,0,0,1,0,11
10949,22.Mar,1971,94858400,이혼,0,8,1419600,48100,769600,188500,48100,71500,2545400,5,8,1,14,1,0,0,0,0,1,11
6260,21.Feb,1963,107099200,배우자 있음,0,55,1279200,66300,561600,234000,156000,247000,2544100,3,13,1,17,0,0,0,0,1,1,11
3174,21.Aug,1967,114102300,배우자 있음,1,61,1939600,49400,373100,65000,74100,42900,2544100,5,4,1,10,1,1,0,1,1,1,11
5536,21.Aug,1967,114102300,배우자 있음,1,61,1939600,49400,373100,65000,74100,42900,2544100,5,4,1,10,1,1,0,1,1,1,11
2975,21.Feb,1984,111287800,배우자 있음,1,89,932100,54600,1123200,284700,39000,109200,2542800,6,9,2,17,1,0,0,0,0,0,11
10936,21.May,1973,93847000,배우자 있음,0,79,776100,215800,776100,223600,215800,323700,2531100,5,4,1,10,0,0,0,0,0,0,11
500,21.Nov,1985,125938800,배우자 있음,0,79,1180400,55900,955500,52000,252200,27300,2523300,7,9,1,17,1,0,0,1,1,1,11
5955,21.Feb,1970,93632500,배우자 있음,0,27,1082900,42900,713700,196300,172900,302900,2511600,4,8,1,13,0,0,0,0,0,0,11
3919,21.Jun,1984,94001700,미혼,0,64,1248000,0,1147900,65000,49400,0,2510300,5,8,1,14,1,0,0,0,0,1,11
4530,21.Jan,1956,101955100,사별,0,36,1263600,24700,773500,234000,33800,179400,2509000,3,10,3,16,1,0,0,0,0,1,11
6036,22.Jun,1967,115856000,배우자 있음,0,78,1518400,119600,530400,93600,167700,71500,2501200,5,7,1,13,0,0,0,0,1,0,11
11071,21.Jul,1992,103489100,미혼,0,37,585000,172900,1236300,224900,0,280800,2499900,3,6,1,10,0,0,0,0,0,1,11
4278,21.Aug,1991,113344400,미혼,0,73,1183000,144300,941200,63700,96200,71500,2499900,10,6,1,17,0,0,0,0,0,1,11
6977,21.Jan,1982,98412600,배우자 있음,1,87,1394900,0,817700,188500,48100,48100,2497300,10,13,1,24,0,0,0,0,1,0,11
4543,21.Jan,1988,107246100,배우자 있음,0,32,1010100,167700,744900,280800,27300,263900,2494700,2,9,1,12,0,0,0,0,1,0,11
5547,21.Nov,1990,109419700,배우자 있음,0,9,1921400,24700,523900,0,24700,0,2494700,7,6,1,14,0,0,0,1,1,1,11
8362,21.Nov,1990,109419700,배우자 있음,0,9,1921400,24700,523900,0,24700,0,2494700,7,6,1,14,0,0,0,1,1,1,11
1065,22.Mar,1971,104903500,미혼,0,85,724100,167700,1279200,250900,48100,23400,2493400,5,5,1,11,0,0,0,0,0,0,11
2611,20.Oct,1967,107348800,배우자 있음,0,66,1567800,71500,578500,218400,23400,23400,2483000,2,12,1,15,0,0,0,0,1,0,11
9743,21.Apr,1963,100097400,배우자 있음,1,85,1883700,115700,209300,89700,45500,139100,2483000,11,8,2,21,0,0,0,0,1,0,11
8164,22.Feb,1986,106821000,배우자 있음,0,13,1329900,120900,846300,63700,71500,48100,2480400,5,7,1,13,0,0,0,0,0,0,11
3711,22.May,1952,104239200,배우자 있음,0,19,1345500,174200,871000,32500,49400,0,2472600,6,10,1,17,1,0,0,0,1,0,11
7962,22.Jan,1995,123719700,미혼,0,1,1670500,27300,583700,137800,26000,26000,2471300,4,4,1,9,1,0,0,0,1,1,11
10909,22.Apr,1956,120047200,배우자 있음,0,9,1289600,31200,902200,66300,24700,154700,2468700,5,5,0,10,0,0,1,0,1,0,11
4702,20.Nov,1972,80390700,미혼,0,20,1300000,201500,492700,291200,22100,156000,2463500,4,4,1,9,0,0,0,0,0,0,11
1544,21.Mar,1975,105794000,이혼,0,51,963300,88400,895700,291200,88400,133900,2460900,4,10,1,15,0,0,0,0,0,0,11
1859,20.Nov,1980,97826300,배우자 있음,0,34,937300,144300,1202500,126100,23400,23400,2457000,7,5,1,13,0,0,0,0,0,1,11
2002,21.Aug,1966,93553200,이혼,0,81,763100,66300,1211600,234000,44200,111800,2431000,5,5,1,11,0,0,0,0,0,0,11
5331,20.Dec,1985,97480500,배우자 있음,0,8,763100,66300,1167400,321100,0,111800,2429700,3,7,1,11,0,0,0,0,0,0,11
9058,20.Dec,1963,103740000,사별,0,65,1378000,27300,689000,41600,0,291200,2427100,5,5,1,11,1,0,1,0,1,1,11
5538,22.Jan,1983,108977700,이혼,0,78,1166100,209300,559000,241800,209300,35100,2420600,4,6,0,10,1,0,1,0,1,1,11
3910,22.Jan,1983,108977700,이혼,0,78,1166100,209300,559000,241800,209300,35100,2420600,4,6,0,10,1,0,1,0,1,1,11
4856,21.Feb,1965,107051100,배우자 있음,0,38,722800,70200,1098500,262600,172900,81900,2408900,7,10,1,18,1,0,1,0,0,0,11
8722,21.Feb,1965,107051100,배우자 있음,0,38,722800,70200,1098500,262600,172900,81900,2408900,7,10,1,18,1,0,1,0,0,1,11
8717,20.Dec,1983,104555100,배우자 있음,1,56,1493700,92300,583700,89700,92300,33800,2385500,11,8,1,20,0,0,0,0,0,0,11
5031,20.Dec,1982,108088500,배우자 있음,0,14,1010100,45500,950300,50700,178100,148200,2382900,5,11,1,17,0,0,0,0,1,1,11
1204,21.Aug,1978,87796800,배우자 있음,1,45,1628900,0,581100,29900,92300,45500,2377700,11,11,3,25,1,0,0,0,0,0,11
3074,21.Jan,1992,91835900,배우자 있음,0,66,1583400,139100,395200,29900,185900,42900,2376400,5,4,1,10,0,0,0,0,0,1,11
2223,20.Oct,1973,83428800,이혼,1,52,1579500,42900,323700,83200,150800,193700,2373800,8,8,8,24,0,0,0,0,0,0,11
4299,20.Dec,1968,92262300,배우자 있음,1,28,1301300,22100,743600,120900,162500,22100,2372500,11,5,7,23,0,0,0,0,0,1,11
6292,21.Jun,1994,107032900,배우자 있음,0,60,1704300,0,466700,59800,115700,22100,2368600,4,10,1,15,0,0,0,0,1,1,11
7431,21.Feb,1999,88563800,미혼,0,40,1731600,22100,404300,29900,66300,111800,2366000,7,5,1,13,0,0,0,1,0,1,11
11088,21.Jul,1979,102234600,배우자 있음,1,83,1814800,0,418600,59800,45500,22100,2360800,4,4,1,9,0,0,0,0,0,0,11
5831,20.Nov,1975,101231000,배우자 있음,1,93,1322100,65000,650000,84500,65000,172900,2359500,5,5,3,13,1,0,0,1,0,1,11
590,21.Mar,1978,102152700,이혼,0,35,1060800,85800,713700,280800,85800,128700,2355600,5,4,1,10,0,0,0,0,0,1,11
9493,21.Aug,1988,99335600,미혼,0,15,1092000,68900,1045200,29900,92300,22100,2350400,5,8,1,14,1,0,0,0,1,1,11
380,20.Dec,1962,83846100,이혼,1,17,1521000,62400,416000,54600,41600,249600,2345200,11,9,5,25,0,0,1,0,0,1,11
6049,22.Mar,1990,95485000,배우자 있음,0,85,1484600,66300,539500,117000,89700,48100,2345200,7,11,1,19,1,0,1,0,0,0,11
9298,22.Jul,1955,106046200,배우자 있음,0,89,1627600,0,604500,59800,45500,0,2337400,4,8,1,13,0,0,0,1,1,0,11
1990,21.Feb,1982,82106700,미혼,0,74,1254500,44200,761800,115700,111800,48100,2336100,3,8,1,12,0,0,1,0,0,0,11
1340,22.Jul,1994,120783000,배우자 있음,0,42,716300,178100,1029600,232700,133900,42900,2333500,6,13,1,20,1,0,0,1,1,0,11
2781,22.Sep,1989,93685800,미혼,0,55,1303900,44200,696800,174200,66300,44200,2329600,4,6,1,11,1,0,0,0,1,1,11
8545,22.Jun,1962,111387900,이혼,0,6,1684800,22100,404300,58500,89700,66300,2325700,2,10,1,13,1,1,0,1,1,1,11
6565,21.Jun,1957,100093500,배우자 있음,1,91,1315600,104000,647400,0,20800,228800,2316600,11,9,2,22,1,0,0,0,0,0,11
7233,20.Dec,1980,89971700,배우자 있음,0,4,644800,41600,1103700,297700,62400,166400,2316600,5,6,2,13,1,0,0,0,0,0,11
3979,21.Aug,1991,117893100,이혼,0,98,1276600,22100,873600,29900,44200,66300,2312700,6,8,1,15,0,0,0,0,1,1,11
10489,21.Nov,1981,120841500,배우자 있음,0,35,900900,27300,1202500,40300,31200,109200,2311400,6,9,1,16,1,0,0,0,1,1,11
8314,21.Jul,1990,103880400,배우자 있음,0,30,724100,167700,989300,37700,240500,144300,2303600,5,7,1,13,0,0,0,0,1,0,11
3009,21.Oct,1970,93171000,사별,0,8,1900600,20800,166400,0,0,208000,2295800,5,6,1,12,0,1,0,1,1,1,11
8931,22.Aug,1994,107942900,배우자 있음,1,82,1055600,128700,560300,308100,193700,42900,2289300,11,10,1,22,1,0,0,0,0,0,11
3667,21.May,1977,105237600,배우자 있음,0,20,1011400,231400,895700,53300,35100,57200,2284100,8,11,1,20,1,0,0,1,1,1,11
1891,20.Nov,1988,102425700,이혼,0,12,867100,65000,1105000,27300,107900,107900,2280200,4,5,1,10,0,0,0,0,0,1,11
460,20.Nov,1980,103909000,배우자 있음,0,72,1029600,111800,962000,87100,66300,22100,2278900,3,8,1,12,0,0,0,0,0,0,11
1665,21.Dec,1972,83382000,이혼,2,71,1896700,0,79300,0,19500,279500,2275000,2,6,5,13,0,1,1,0,1,1,11
7999,21.Jul,1963,97839300,배우자 있음,0,17,1610700,22100,536900,29900,44200,22100,2265900,5,5,1,11,0,0,0,1,1,1,11
8318,22.Apr,1987,117390000,배우자 있음,0,7,772200,174200,1021800,42900,174200,74100,2259400,5,8,0,13,0,0,0,0,1,0,11
1577,22.May,1954,102139700,배우자 있음,0,14,725400,102700,808600,269100,227500,123500,2256800,4,4,1,9,0,0,0,0,1,1,11
4994,21.Dec,1951,100877400,미혼,0,53,1550900,42900,365300,167700,85800,42900,2255500,7,13,1,21,0,0,0,0,1,0,11
6203,21.Nov,1955,96830500,배우자 있음,0,58,648700,193700,1059500,224900,63700,63700,2254200,6,12,1,19,0,0,0,0,0,0,11
5376,21.Apr,1987,3181100,배우자 있음,1,42,1300,1300,2242500,1300,1300,1300,2249000,0,0,15,15,0,0,0,0,0,0,11
4931,21.Jul,1985,204289800,배우자 있음,0,13,1300,0,2242500,2600,1300,1300,2249000,0,0,0,0,0,0,0,0,0,0,11
4943,20.Dec,1961,91653900,배우자 있음,0,73,1792700,42900,280800,0,42900,85800,2245100,2,9,1,12,0,0,0,1,1,0,11
10140,21.Dec,1991,91159900,배우자 있음,0,27,1700400,0,514800,29900,0,0,2245100,5,4,1,10,0,1,0,1,0,0,11
1592,22.Apr,1978,117994500,배우자 있음,0,25,711100,128700,1055600,196300,106600,42900,2241200,4,5,0,9,1,0,0,0,1,0,11
4611,21.Apr,1978,137112300,배우자 있음,0,36,1311700,235300,135200,262600,27300,269100,2241200,9,13,0,22,1,0,0,0,1,1,11
10965,21.May,1963,98806500,배우자 있음,0,72,1277900,26000,505700,312000,65000,52000,2238600,3,13,1,17,1,0,0,0,0,0,11
6749,20.Nov,1974,112265400,미혼,2,78,1244100,61100,642200,106600,61100,123500,2238600,5,6,4,15,0,0,0,0,0,0,11
9242,21.Nov,1998,83861700,미혼,0,19,1086800,240500,747500,31200,32500,100100,2238600,6,9,1,16,0,0,1,0,0,1,11
1501,20.Oct,1990,209043900,배우자 있음,0,21,71500,20800,2108600,22100,3900,5200,2232100,0,1,15,16,0,0,0,0,0,0,11
8278,20.Nov,1998,96478200,배우자 있음,0,3,1121900,107900,711100,111800,128700,42900,2224300,8,5,1,14,0,0,0,0,0,0,11
9260,21.Feb,1953,91462800,배우자 있음,0,20,1753700,20800,323700,55900,20800,42900,2217800,10,9,2,21,0,0,0,0,0,0,11
5113,22.Feb,1979,113072700,이혼,0,67,759200,130000,1085500,84500,107900,45500,2212600,5,5,1,11,0,0,1,0,0,1,11
5667,21.Jan,1972,79164800,배우자 있음,1,90,1316900,39000,518700,78000,59800,198900,2211300,9,4,3,16,0,0,0,0,0,1,11
4676,22.Jun,1959,95816500,사별,2,86,795600,118300,676000,335400,139100,139100,2203500,9,8,2,19,0,0,0,0,0,0,11
4114,20.Nov,1972,102885900,배우자 있음,0,2,845000,48100,1014000,35100,217100,41600,2200900,6,13,1,20,0,0,0,0,0,0,11
10164,22.Jun,1966,122813600,미혼,1,75,1322100,42900,542100,140400,130000,20800,2198300,5,5,1,11,0,0,0,1,1,0,11
2176,21.Aug,1980,104174200,배우자 있음,1,40,1583400,20800,353600,135200,0,104000,2197000,5,6,2,13,1,0,0,1,1,1,11
9121,21.Aug,1980,104174200,배우자 있음,1,40,1583400,20800,353600,135200,0,104000,2197000,5,6,2,13,1,0,0,1,1,1,11
3725,21.Aug,1969,110324500,미혼,0,1,1622400,20800,453700,55900,20800,20800,2194400,2,9,1,12,1,1,0,1,1,1,11
4686,22.Jun,1970,107342300,사별,0,28,1119300,40300,725400,80600,123500,102700,2191800,6,13,0,19,0,0,0,0,1,0,11
5558,22.Jun,1962,118212900,미혼,0,90,1326000,40300,559000,80600,81900,102700,2190500,4,4,1,9,0,0,0,0,1,0,11
2612,22.Mar,1995,98532200,배우자 있음,0,33,980200,208000,812500,81900,41600,62400,2186600,7,12,1,20,1,0,0,0,0,0,11
7899,21.Jan,1960,100893000,배우자 있음,1,70,1618500,42900,431600,27300,42900,20800,2184000,4,4,2,10,0,0,0,0,0,0,11
8720,20.Nov,1986,,배우자 있음,0,53,41600,2600,2089100,15600,5200,28600,2182700,0,1,0,1,0,0,0,1,0,0,11
9212,21.May,1970,94676400,배우자 있음,1,17,1566500,0,305500,24700,18200,266500,2181400,6,13,6,25,0,0,0,0,0,0,11
7875,22.Jul,1957,93632500,배우자 있음,0,46,1257100,0,802100,55900,65000,0,2180100,4,13,1,18,1,0,0,1,1,1,11
4789,21.Dec,1961,105055600,배우자 있음,0,95,999700,28600,650000,273000,185900,42900,2180100,4,5,1,10,1,0,1,0,1,0,11
3138,21.Jan,1964,118623700,미혼,0,84,1721200,35100,154700,92300,140400,35100,2178800,7,6,0,13,1,1,0,1,1,1,11
9560,21.May,1973,107903900,배우자 있음,0,18,1112800,79300,741000,52000,32500,158600,2176200,7,8,1,16,0,0,0,0,1,1,11
1966,22.Feb,1973,110003400,배우자 있음,0,96,889200,130000,1041300,27300,85800,0,2173600,6,10,1,17,0,0,0,0,1,0,11
7789,22.Feb,1973,110003400,배우자 있음,0,96,889200,130000,1041300,27300,85800,0,2173600,6,10,1,17,0,0,0,0,1,0,11
6184,21.Mar,1977,89000600,배우자 있음,0,6,729300,83200,1020500,109200,166400,62400,2171000,3,8,1,12,0,0,0,0,0,0,11
5628,21.May,1990,79840800,배우자 있음,0,25,1102400,200200,419900,261300,79300,101400,2164500,10,10,1,21,0,0,1,0,0,0,11
8643,21.Aug,1979,90909000,배우자 있음,0,21,327600,127400,1075100,284700,91000,254800,2160600,4,12,1,17,0,0,0,0,0,0,11
531,20.Dec,1962,74532900,이혼,1,55,1223300,18200,516100,98800,75400,228800,2160600,8,9,11,28,0,0,0,0,0,1,11
9451,21.Feb,1973,95599400,배우자 있음,1,92,1054300,98800,556400,128700,178100,139100,2155400,10,9,3,22,0,0,0,0,0,0,11
830,22.May,1995,96205200,미혼,0,5,1019200,62400,728000,54600,228800,62400,2155400,4,4,1,9,1,0,0,0,1,1,11
3262,20.Nov,1966,88765300,미혼,0,31,1293500,145600,542100,54600,62400,53300,2151500,2,13,1,16,0,0,0,0,0,1,11
2532,22.May,1995,95490200,미혼,0,95,1276600,94900,456300,72800,18200,227500,2146300,2,6,1,9,0,0,1,0,0,0,11
4637,21.Aug,1962,97028100,미혼,0,73,1248000,83200,603200,189800,0,20800,2145000,6,9,1,16,1,0,0,0,0,0,11
3005,22.Jul,2000,108586400,미혼,0,7,689000,152100,881400,174200,57200,191100,2145000,4,8,1,13,1,0,1,0,0,1,11
4418,21.May,1991,116500800,미혼,0,36,872300,61100,851500,188500,144300,19500,2137200,7,12,1,20,0,0,0,0,0,1,11
1650,21.Jul,1968,106395900,배우자 있음,0,13,1012700,111800,698100,44200,89700,179400,2135900,5,12,1,18,0,0,0,0,0,0,11
5046,22.Apr,1966,101830300,이혼,1,97,982800,179400,460200,208000,219700,79300,2129400,10,7,2,19,0,0,0,0,0,0,11
9264,22.Jul,1994,103387700,배우자 있음,0,1,549900,54600,917800,94900,256100,256100,2129400,4,9,1,14,0,0,0,0,0,0,11
2379,20.Dec,1961,90047100,미혼,0,31,1011400,57200,648700,123500,94900,189800,2125500,3,5,2,10,0,0,0,0,0,1,11
5687,20.Dec,1988,106212600,이혼,0,98,731900,65000,1006200,36400,40300,243100,2122900,7,12,1,20,0,0,0,0,0,0,11
4687,21.Aug,1966,104960700,배우자 있음,0,92,876200,119600,956800,50700,0,119600,2122900,3,9,1,13,0,0,0,0,0,0,11
9757,21.Dec,1980,110377800,배우자 있음,0,98,1296100,19500,538200,128700,39000,98800,2120300,5,12,1,18,0,1,0,1,1,0,11
2939,22.Sep,1978,103244700,배우자 있음,0,96,976300,165100,893100,26000,19500,40300,2120300,4,4,1,9,0,0,0,0,0,0,11
2088,21.Dec,1980,110377800,배우자 있음,0,98,1296100,19500,538200,128700,39000,98800,2120300,5,12,1,18,0,1,0,1,1,0,11
9529,22.Feb,1998,95793100,배우자 있음,0,8,726700,198900,653900,283400,16900,235300,2115100,3,9,1,13,1,0,0,0,0,1,11
10469,22.May,1989,114822500,배우자 있음,0,42,674700,92300,1118000,120900,35100,68900,2109900,6,9,1,16,0,0,0,0,0,0,11
8029,22.Jul,1996,117321100,미혼,0,27,1539200,41600,457600,27300,20800,20800,2107300,3,7,1,11,1,0,0,1,1,1,11
5524,20.Dec,1965,75579400,미혼,0,58,825500,114400,709800,223600,114400,114400,2102100,8,4,3,15,0,0,0,0,0,1,11
2225,22.Sep,1985,107356600,이혼,0,54,663000,156000,715000,202800,52000,313300,2102100,4,7,1,12,1,0,1,0,0,1,11
9499,21.Aug,1962,121425200,배우자 있음,3,97,1662700,19500,373100,26000,0,19500,2100800,3,7,3,13,0,0,0,1,1,0,11
6274,22.Feb,1956,108927000,배우자 있음,0,81,1398800,20800,542100,54600,62400,20800,2099500,8,6,1,15,0,0,0,1,1,0,11
7441,21.Jan,1981,92466400,이혼,1,80,1245400,206700,581100,26000,0,40300,2099500,2,12,3,17,0,0,0,0,0,0,11
6543,21.Apr,1953,81701100,배우자 있음,0,45,677300,218400,917800,104000,98800,79300,2095600,3,4,1,8,0,0,0,0,0,0,11
2437,21.Aug,1997,,배우자 있음,0,69,1119300,179400,599300,78000,39000,79300,2094300,6,12,1,19,1,0,0,1,0,0,11
8475,22.May,1981,204415900,배우자 있음,1,98,26000,2600,2056600,1300,2600,1300,2090400,0,0,15,15,0,0,0,0,0,0,11
1964,21.Dec,1959,112593000,배우자 있음,0,66,579800,139100,998400,42900,254800,68900,2083900,5,6,1,12,0,0,0,0,0,0,11
9938,21.Dec,1962,104087100,배우자 있음,0,82,674700,22100,1056900,35100,224900,66300,2080000,4,6,1,11,0,0,0,0,1,0,11
10955,22.Apr,1972,111306000,사별,0,68,540800,59800,1202500,78000,139100,59800,2080000,3,4,1,8,0,0,0,0,0,1,11
3428,22.Jan,1999,89286600,배우자 있음,0,56,1194700,0,656500,128700,39000,58500,2077400,4,10,1,15,0,0,0,0,0,0,11
4500,22.Jan,1999,89286600,배우자 있음,0,56,1194700,0,656500,128700,39000,58500,2077400,4,10,1,15,0,0,0,0,0,0,11
7396,21.Feb,1974,104517400,배우자 있음,0,92,444600,66300,1216800,269100,45500,33800,2076100,5,12,1,18,0,0,0,0,1,0,11
3426,21.Oct,1983,91390000,이혼,1,89,1358500,79300,439400,78000,59800,59800,2074800,5,13,3,21,0,0,0,0,0,0,11
5341,21.Apr,1970,106567500,이혼,1,2,1277900,98800,239200,234000,179400,35100,2064400,6,4,1,11,0,0,0,0,1,0,11
1619,22.Jul,1964,117479700,배우자 있음,0,2,379600,66300,1275300,291200,29900,22100,2064400,4,6,1,11,0,0,0,0,0,1,11
